sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.0015993559360504151,67,0.014925373134328358,0.03,50,0.02,48,2,a,put
0.0017429900169372559,69,0.014492753623188406,0.03,50,0.02,48,2,a,put
0.0012908480167388916,71,0.014084507042253521,0.03,50,0.02,48,2,a,put
0.001358180046081543,73,0.0136986301369863,0.03,50,0.02,48,2,a,put
0.0015801117420196533,75,0.013333333333333334,0.03,50,0.02,48,2,a,put
0.0015506527423858642,77,0.012987012987012988,0.03,50,0.02,48,2,a,put
0.001713822364807129,79,0.012658227848101266,0.03,50,0.02,48,2,a,put
0.001709758996963501,81,0.012345679012345678,0.03,50,0.02,48,2,a,put
0.0026341688632965086,83,0.012048192771084338,0.03,50,0.02,48,2,a,put
0.001878225326538086,85,0.011764705882352941,0.03,50,0.02,48,2,a,put
0.0019205825328826903,87,0.011494252873563218,0.03,50,0.02,48,2,a,put
0.002015842914581299,89,0.011235955056179775,0.03,50,0.02,48,2,a,put
0.0021067919731140136,91,0.01098901098901099,0.03,50,0.02,48,2,a,put
0.002206174373626709,93,0.010752688172043012,0.03,50,0.02,48,2,a,put
0.002328740358352661,95,0.010526315789473684,0.03,50,0.02,48,2,a,put
0.0023040573596954344,97,0.010309278350515464,0.03,50,0.02,48,2,a,put
0.0024176504611968996,99,0.010101010101010102,0.03,50,0.02,48,2,a,put
0.002411147594451904,100,0.01,0.03,50,0.02,48,2,a,put
0.0029822750091552733,110,0.00909090909090909,0.03,50,0.02,48,2,a,put
0.0034325876235961916,120,0.008333333333333333,0.03,50,0.02,48,2,a,put
0.004394277095794678,130,0.007692307692307693,0.03,50,0.02,48,2,a,put
0.004776442527770996,140,0.007142857142857143,0.03,50,0.02,48,2,a,put
0.005636031866073608,150,0.006666666666666667,0.03,50,0.02,48,2,a,put
0.00782403588294983,160,0.00625,0.03,50,0.02,48,2,a,put
0.009629828453063965,170,0.0058823529411764705,0.03,50,0.02,48,2,a,put
0.010712472677230835,180,0.005555555555555556,0.03,50,0.02,48,2,a,put
0.014119933605194092,190,0.005263157894736842,0.03,50,0.02,48,2,a,put
0.01687095022201538,200,0.005,0.03,50,0.02,48,2,a,put
0.01951260042190552,210,0.004761904761904762,0.03,50,0.02,48,2,a,put
0.021779504776000977,220,0.004545454545454545,0.03,50,0.02,48,2,a,put
0.020045674085617065,230,0.004347826086956522,0.03,50,0.02,48,2,a,put
0.026511425971984862,240,0.004166666666666667,0.03,50,0.02,48,2,a,put
0.033213374614715574,250,0.004,0.03,50,0.02,48,2,a,put
