sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.19439232110977173,701,0.0014265335235378032,0.03,50,0.02,48,2,a,put
0.20742380619049072,721,0.0013869625520110957,0.03,50,0.02,48,2,a,put
0.2225963807106018,741,0.001349527665317139,0.03,50,0.02,48,2,a,put
0.23243600368499756,761,0.001314060446780552,0.03,50,0.02,48,2,a,put
0.31976778507232667,781,0.0012804097311139564,0.03,50,0.02,48,2,a,put
0.413848934173584,801,0.0012484394506866417,0.03,50,0.02,48,2,a,put
0.30864367246627805,821,0.001218026796589525,0.03,50,0.02,48,2,a,put
0.29065923929214477,841,0.0011890606420927466,0.03,50,0.02,48,2,a,put
0.30112332344055176,861,0.0011614401858304297,0.03,50,0.02,48,2,a,put
0.31424421787261964,881,0.0011350737797956867,0.03,50,0.02,48,2,a,put
0.32972021102905275,901,0.0011098779134295228,0.03,50,0.02,48,2,a,put
0.5520515608787536,921,0.0010857763300760044,0.03,50,0.02,48,2,a,put
0.6722251582145691,941,0.0010626992561105207,0.03,50,0.02,48,2,a,put
0.5369976258277893,961,0.001040582726326743,0.03,50,0.02,48,2,a,put
0.41457113742828366,981,0.0010193679918450561,0.03,50,0.02,48,2,a,put
9.982585906982421e-06,1,1.0,0.03,50,0.02,48,2,e,call
0.00012996435165405274,21,0.047619047619047616,0.03,50,0.02,48,2,e,call
0.00041751384735107423,41,0.024390243902439025,0.03,50,0.02,48,2,e,call
0.0009316945075988769,61,0.01639344262295082,0.03,50,0.02,48,2,e,call
0.001484684944152832,81,0.012345679012345678,0.03,50,0.02,48,2,e,call
0.0024359822273254395,101,0.009900990099009901,0.03,50,0.02,48,2,e,call
0.003375859260559082,121,0.008264462809917356,0.03,50,0.02,48,2,e,call
0.004470884799957275,141,0.0070921985815602835,0.03,50,0.02,48,2,e,call
0.005799176692962646,161,0.006211180124223602,0.03,50,0.02,48,2,e,call
0.01057844638824463,181,0.0055248618784530384,0.03,50,0.02,48,2,e,call
0.01308980941772461,201,0.004975124378109453,0.03,50,0.02,48,2,e,call
0.017201783657073973,221,0.004524886877828055,0.03,50,0.02,48,2,e,call
0.0195232892036438,241,0.004149377593360996,0.03,50,0.02,48,2,e,call
0.022655081748962403,261,0.0038314176245210726,0.03,50,0.02,48,2,e,call
0.027193655967712404,281,0.0035587188612099642,0.03,50,0.02,48,2,e,call
0.030283854007720948,301,0.0033222591362126247,0.03,50,0.02,48,2,e,call
0.03469236850738525,321,0.003115264797507788,0.03,50,0.02,48,2,e,call
0.03922837257385254,341,0.002932551319648094,0.03,50,0.02,48,2,e,call
0.04652578592300415,361,0.002770083102493075,0.03,50,0.02,48,2,e,call
